,,2,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,c,o,n,d,i,t,i,o,n,a,l,,s,w,a,p,,,8,,2
,,,,,2,,3,,,,4,,,3,,,,,,,,,,
9,,7,,2,,1,,,,,,,,,,,3,,,,,7,,10
,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,2,,,,,,,,,,,,,,2,,5,,8,,2
,,,,,,,,,,,,,,,,,2,,1,,,,,
9,,7,,,2,,,,,2,,,,3,,,,2,,3,,7,,10
,,,,,,,,,,,3,,5,,6,,5,,4,,2,,,
2,,8,,,,5,,4,,6,,1,,,,,,2,,5,,8,,2
,,,,,,,,,,,2,,2,,,,2,,1,,,,,
9,,7,,,2,,,,,2,,2,,,7,,,2,,3,,7,,10
,,,,2,,1,,,,,,,,,,,,,,,,,,
2,,6,,,2,,,,,,5,,,,6,,,,6,,,8,,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,,,,,,,,,,3,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2,,8,,,,,,,,,,,,,,,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,,2,,
