,,2,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,
2,,8,,,N,A,N,D,,,,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,
3,,7,,,,,,3,,,,3,,,,,,,
,,,,,,,,,,,,,,,,,,,
11,,6,,,,,3,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,,6,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,,8,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,,,,,,,
3,,7,,3,,,2,,,,,,,2,,,7,,3
,,,,,,,,,,,,,,,,,,,
11,,6,,,,5,,,4,,,,4,,,,6,,12
,,,,,,,,,,2,,4,,,,,,,
3,,7,,3,,3,,,,,,,3,,3,,7,,3
,,,,,,,,,4,,,4,,,,,,,
2,,8,,,,,,,,,,,,,,,8,,2
,,,,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,2,,
